index,film_name,source,content
0,The Awakening,https://en.wikipedia.org/wiki/The_Awakening_(1980_film),"""The film opens on an Egyptian archaeological dig in 1961.[4] Three of the main characters are introduced: Matthew Corbeck (Heston), his wife Anne Corbeck (Jill Townsend), and Jane Turner (Susannah York). Matthew and Jane are discussing their efforts to uncover the tomb of an ancient Egyptian queen. Anne is distressed by the relationship between her husband and his assistant. It is later proved that her distress is justified. Corbeck and Turner discover a long hidden tomb that bears an inscription: """"Do Not Approach the Nameless One Lest Your Soul Be Withered.""""[5] They continue on to discover the burial chamber of Queen Kara. As Corbeck prepares to breach the entrance, Anne begins a painful premature labour. Corbeck and Jane return to the camp and find Anne lying on the floor in a trance-like state. Corbeck takes her to the hospital and leaves her there so that he can return to the dig. Anne's pregnancy ends in stillbirth. As Corbeck and Turner open the mummy's sarcophagus, the stillborn infant is restored to life.[6][7] Corbeck neglects his wife and daughter Margaret, and Anne takes the baby and leaves him. Eighteen years later, Corbeck is a professor at a British university and married to Jane. Corbeck learns that traces of bacteria have been found on the mummy that threaten to destroy it. Corbeck tries to have the mummy brought back to England because he disagrees with the methods used by Egyptian professionals to preserve it. One of the specialists opposing Corbeck is killed in a freak accident, allowing Matthew to transport the mummy to England. Margaret (Stephanie Zimbalist), now eighteen (the age of Queen Kara when she died), goes to England to meet her father against her mother's wishes. Corbeck and Jane tell Margaret all about Kara, the violent murders she committed, and the myth that she could reincarnate herself. Corbeck's obsession with Kara grows and Margaret exhibits personality changes. People who resist Matthew and Margaret mysteriously and violently die. Margaret begins to notice the changes in herself and believes she is the one responsible for all the deaths. While visiting Kara's tomb, in Egypt, she and her father discover the Canopic jars that contain Kara's organs. Corbeck secretly brings the Canopic jars back to England. Corbeck wants to try the ritual to resurrect the ancient Queen. He believes that the spirit of the queen possessed his daughter at the moment of her birth, and that she intends to resurrect herself through the girl's body. He proposes that the only way to save Margaret, who has fallen into a coma, is to perform the ritual over Kara's mummy in the British Museum. He realises too late that Kara tricked him, and that the ritual enabled her to completely take over Margaret's body. The reincarnated Queen kills Corbeck, her future intentions unknown.[6]"""
1,Battle Beyond the Stars,https://en.wikipedia.org/wiki/Battle_Beyond_the_Stars,""".mw-parser-output .ambox{border:1px solid #a2a9b1;border-left:10px solid #36c;background-color:#fbfbfb;box-sizing:border-box}.mw-parser-output .ambox+link+.ambox,.mw-parser-output .ambox+link+style+.ambox,.mw-parser-output .ambox+link+link+.ambox,.mw-parser-output .ambox+.mw-empty-elt+link+.ambox,.mw-parser-output .ambox+.mw-empty-elt+link+style+.ambox,.mw-parser-output .ambox+.mw-empty-elt+link+link+.ambox{margin-top:-1px}html body.mediawiki .mw-parser-output .ambox.mbox-small-left{margin:4px 1em 4px 0;overflow:hidden;width:238px;border-collapse:collapse;font-size:88%;line-height:1.25em}.mw-parser-output .ambox-speedy{border-left:10px solid #b32424;background-color:#fee7e6}.mw-parser-output .ambox-delete{border-left:10px solid #b32424}.mw-parser-output .ambox-content{border-left:10px solid #f28500}.mw-parser-output .ambox-style{border-left:10px solid #fc3}.mw-parser-output .ambox-move{border-left:10px solid #9932cc}.mw-parser-output .ambox-protection{border-left:10px solid #a2a9b1}.mw-parser-output .ambox .mbox-text{border:none;padding:0.25em 0.5em;width:100%}.mw-parser-output .ambox .mbox-image{border:none;padding:2px 0 2px 0.5em;text-align:center}.mw-parser-output .ambox .mbox-imageright{border:none;padding:2px 0.5em 2px 0;text-align:center}.mw-parser-output .ambox .mbox-empty-cell{border:none;padding:0;width:1px}.mw-parser-output .ambox .mbox-image-div{width:52px}html.client-js body.skin-minerva .mw-parser-output .mbox-text-span{margin-left:23px!important}@media(min-width:720px){.mw-parser-output .ambox{margin:0 10%}} This article's plot summary may be too long or excessively detailed. Please help improve it by removing unnecessary details and making it more concise. (February 2021) (Learn how and when to remove this template message) The farming world Akir is threatened by the tyrannical warlord Sador (John Saxon); who rules the sinister Malmori Empire and, his body parts deteriorating, is capturing and appropriating them from others. Sador's huge dreadnought, the Hammerhead, mounts a """"Stellar Converter"""", a weapon that turns planets into small stars. He demands that the peaceful Akira submit to him when he returns in """"seven risings of your red giant"""" or he will turn his Stellar Converter on their planet. Zed (Jeff Corey) last of the famous Akira Corsairs, is old and nearly blind. He suggests they hire mercenaries to protect their world. Since Akir lacks valuable resources, its people can offer just food and shelter in payment. Unable to go in person, Zed offers his ship for the job if they can find a pilot. The ship is fast and well-armed, but, despite its AI navigation/tactical computer Nell, cannot defeat Sador alone. Shad (Richard Thomas) a young man who has piloted the ship and is well known to Nell, volunteers for the recruiting mission. Seeking weapons, Shad goes to the space station of Doctor Hephaestus (Sam Jaffe) an old friend of Zed. The station is populated mostly by androids, except for two humans: Hephaestus, whose numerous life support-systems have turned him into a cyborg, and his beautiful daughter Nanelia (Darlanne Fluegel); who looks after him and the androids. The doctor wants Shad to mate with his daughter, by force if necessary. Shad cannot bring himself to abandon his people; he persuades Nanelia to help him escape. She follows in her own ship; although she has no weapons, her highly advanced computer systems might be useful. The two split up to look for more mercenaries. Shad encounters Cowboy (George Peppard) a freighter-pilot from Earth who is ambushed by Space Jackers while delivering a shipment of laser-handguns to the planet Umateal. Shad fights off the Jackers, thus saving Cowboy's life twice over; they arrive at Umateal just in time to watch Sador destroy the planet with his Stellar Converter. Lacking the fuel to carry his weapons back home, Cowboy offers them to Akir instead. Shad talks Cowboy into sharing his gunslinging experience with the Akira. Later, Shad meets a set of five alien clones who share a group consciousness named Nestor. They admit their life is incredibly dull, since their whole race shares one mind. In order to be entertained, they have sent five members to join Shad's cause. Nestor does not require payment, saying they are completely self-sufficient. Next, Shad recruits Gelt (Robert Vaughn) a wealthy assassin who cannot show himself on any civilized planet for fear of retribution. Gelt offers his services in return for being allowed to live peacefully among the Akira. Gelt's ship is highly maneuverable and well-armed. On his way back to Akir, Shad is approached by Saint-Exmin (Sybil Danning) of the Valkyrie warriors. She is a headstrong woman looking to prove herself in battle. She pilots a small, but extremely fast ship with enhanced firepower. Shad finds her annoying and wishes she would go away, but she tags along. While waiting for Shad's return, Nanelia is captured by a reptilian slaver named Cayman of the Lazuli (Morgan Woodward) Cayman possesses a powerful ship with an eclectic crew of aliens. She explains to Cayman that they are seeking mercenaries for a war against Sador. Cayman takes up their cause in return for the head of Sador; who destroyed Cayman's homeworld years ago. Back on Akir, Shad's sister Mol is captured by two Malmori warriors with the intent to rape her. As Shad and Company return, their approach frightens the Malmori into attempting to escape. Mol, in retaliation, interferes with their controls, allowing Gelt the opportunity to destroy their ship, killing all three. Upon reaching the planet's surface, the heroes are greeted with caution by the natives, who are wary of violent species. When Sador returns, his Malmori forces are intercepted by Shad's hired warriors. Gelt dogfights his way to Hammerhead, which shoots him down. Cowboy and the laser-toting Akira ward off an invasion backed by a Malmori Sonic Tank. Many of Sador's troops are killed, and their Sonic Tank is destroyed; however, many Akira die as well, including Zed. After surviving an assassination attempt by Nestor, Sador launches the remainder of his fleet in a retaliatory strike against Akir. Saint-Exmin blows herself up to knock out Sador's Stellar Converter. Although Sador's aerospace forces are wiped out, Hammerhead picks off all the remaining mercenaries with laser battery-fire and nuclear missiles. Only Nell, piloted by Shad and Nanelia, survives the Malmori onslaught. Crippled and unable to fight, Nell is captured by Hammerhead's tractor beam. Nanelia and Shad activate Nell's self-destruct program, then flee their ship in an escape pod. Sador commands Nell to surrender. Instead she detonates, causing his Stellar Converter to backfire and disintegrate Hammerhead. As Shad and Nanelia return to Akir, Nanelia despairs over their friends' deaths. Shad shares with her the teachings of Akir's """"Varda""""; nobody is truly dead when they have been loved and are celebrated by the living. The Akira will always remember the sacrifices made by the mercenaries; who will forever be honored in the legends of Akir."""
2,The Blue Lagoon,https://en.wikipedia.org/wiki/The_Blue_Lagoon_(1980_film),"""In the late Victorian period, two young cousins, nine-year-old Richard (Glenn Kohan as Young Richard) and seven-year-old Emmeline Lestrange (Elva Josephson as Young Emmeline), and a galley cook, Paddy Button (Leo McKern), survive a shipwreck in the South Pacific and reach a lush tropical island. Paddy cares for the children and forbids them by """"law"""" from going to the other side of the island, as he had found remains from bloody human sacrifices on an altar there. He also warns them against eating the deadly scarlet berries. Paddy later dies after a drunken binge. Now alone, the children go to another part of the island and rebuild their home. When Richard and Emmeline reach puberty, their experience is stressful given their lack of education on human sexuality. Emmeline is the first to experience sexual attraction (to Richard), about which she is uncomfortable and declines to share her """"funny"""" thoughts with him. She is frightened by her first menstrual period and refuses to allow Richard to inspect her for what he imagines is a wound. Eventually, Richard recognizes his own attraction to Emmeline. She ventures to the forbidden side of the island and sees the altar. She associates the blood on the altar with the blood of Christ's crucifixion, concludes that the altar is God, and tries to persuade Richard to go to the other side of the island to pray with her. Richard is shocked at the idea of breaking the law, and the two argue. Later, when Richard tries to initiate sexual contact with Emmeline, she rebuffs him; he hides from her and masturbates. A ship appears for the first time in years, but Emmeline does not light the signal fire and the ship passes by without noticing them. When Richard angrily confronts Emmeline about her failure, she assertsâ€”to Richard's disbeliefâ€”that the island is their home now and that they should remain there. Emmeline reveals that she knows about Richard's masturbation and threatens to tell her Uncle Arthur about it. They fight, and Emmeline throws a coconut at Richard, inadvertently hitting him in the head. Angry and hurt, Richard slaps her and kicks Emmeline out of their shelter. Emmeline accidentally steps on a venomous stonefish. Weak from the poison, she pleads with Richard to """"take [her] to God"""". Richard carries her to the other side of the island and places her on the altar, offering a prayer. Emmeline recovers and Richard admits his fear of losing her. After Emmeline regains her ability to walk, the two swim naked in the lagoon and then swim to shore. Noticing their bodies' reactions as they play together, Richard and Emmeline discover sexual intercourse and become lovers. As a result, Emmeline becomes pregnant, though neither of them recognize her pregnancy. Instead, they are stunned when they feel the baby move inside her abdomen and assume that it is her stomach causing the movements. Months later, Richard is alone in the shelter and hears a sound from afar and goes directly to the other side of the island. There, he discovers a group of indigenous people performing a ritual in front of the statue as a ceremony, during which they sacrifice someone. Richard becomes frightened and runs away to find Emmeline, whom he finds in labor. Emmeline gives birth to a baby boy, whom they name Paddy. A ship led by Richard's father, Arthur (William Daniels), approaches the island and sees the family playing on the shore. When they notice the ship, Richard and Emmeline walk away instead of signaling for help, content with their lives. As they are covered in mud, their appearance is difficult to determine, and Arthur assumes they are not Richard and Emmeline. One day, the family takes the lifeboat to visit their original homesite. Richard searches for bananas, leaving Emmeline and Paddy with the boat. Emmeline does not notice when Paddy brings a branch of the scarlet berries into the boat. Emmeline and Paddy slowly drift away, and Paddy tosses one of the oars out of the boat. Unable to reach the oar, Emmeline shouts to Richard and he swims to her, followed closely by a shark. Emmeline throws the other oar at the shark, striking it and giving Richard time to get into the boat. The boat is caught in the current and drifts out to sea. After drifting for days, Richard and Emmeline awake to find Paddy eating the berries he had picked. Hopeless, Richard and Emmeline eat the berries as well, lying down to await death. A few hours later, Arthur's ship finds them. Arthur asks, """"Are they dead?"""" The officer (Gus Mercurio) assures him, """"No, sir. They're asleep""""."""
3,The Blues Brothers,https://en.wikipedia.org/wiki/The_Blues_Brothers_(film),"""Blues vocalist and petty criminal Jake Blues is released from prison after serving three years, and is picked up by his brother Elwood in his Bluesmobile, a battered former police car. Elwood demonstrates its capabilities by jumping an open drawbridge. The brothers visit the Catholic orphanage where they were raised, and learn from Sister Mary Stigmata that it will be closed unless $5,000 in property taxes is collected. During a sermon by the Reverend Cleophus James at the Triple Rock Baptist Church, Jake has an epiphany: they can re-form their band, the Blues Brothers, which disbanded while Jake was in prison, and raise the money to save the orphanage. That night, state troopers attempt to arrest Elwood for driving with a suspended license due to 116 parking tickets and 56 moving violations. After a high-speed chase through the Dixie Square Mall, the brothers escape. The next morning, as the police arrive at the flophouse where Elwood lives, a mysterious woman detonates a bomb that demolishes the building, but leaves Jake and Elwood unharmed, and saves them from being arrested. Jake and Elwood begin tracking down members of the band. Five of them are performing as """"Murph and The MagicTones"""" at a deserted Holiday Inn lounge, and quickly agree to rejoin. Another turns them down as he is the maÃ®tre d' at an expensive restaurant, but the brothers refuse to leave the restaurant until he relents. On their way to meet the final two band members, the brothers find the road through Jackson Park blocked by an American Nazi Party demonstration on a bridge; Elwood runs them off the bridge into the East Lagoon. The last two band members, who now run a soul food restaurant, rejoin the band against the advice of one's wife. The reunited group obtain instruments and equipment from Ray's Music Exchange in Calumet City, and Ray, as usual, takes an IOU. As Jake attempts to book a gig, the mystery woman blows up the phone booth he is using; once again, he is miraculously unhurt. The band stumbles onto a gig at Bob's Country Bunker, a honky-tonk in Kokomo, Indiana. They win over the rowdy crowd but run up a bar tab higher than their pay, and infuriate the Good Ol' Boys, the country band that was actually booked for the gig.  Reproduction of the """"Bluesmobile"""" at Rusty's TV & Movie Car Museum, Jackson, Tennessee Realizing that they need one big show to raise the necessary money, the brothers persuade their old agent to book the Palace Hotel Ballroom, north of Chicago. They mount a loudspeaker atop the Bluesmobile and drive around the Chicago area promoting the concertâ€”and alerting the police, the neo-Nazis, and the Good Ol' Boys of their whereabouts. The ballroom is packed with blues fans, police officers, and the Good Ol' Boys. Jake and Elwood perform two songs, then sneak offstage, as the tax deadline is rapidly approaching. A record company executive offers them a $10,000 cash advance on a recording contractâ€”more than enough to pay off the orphanage's taxes and Ray's IOUâ€”and then shows the brothers how to slip out of the building unnoticed. As they make their escape via a service tunnel, they are confronted by the mystery woman: Jake's vengeful ex-fiancÃ©e. After her volley of M16 rifle bullets leaves them once again miraculously unharmed, Jake offers a series of ridiculous excuses that she declines, but when she looked in his eyes she took interest in him again, allowing the brothers to escape to the Bluesmobile. Jake and Elwood race back toward Chicago with dozens of state and local police and the Good Ol' Boys in pursuit. They eventually elude them all with a series of improbable maneuvers, including a miraculous gravity-defying escape from the neo-Nazis. At the Richard J. Daley Center, they rush inside the adjacent Chicago City Hall building, soon followed by hundreds of police, state troopers, SWAT teams, firefighters, Illinois National Guardsmen, and the Military Police. Finding the office of the Cook County Assessor, the brothers pay the tax bill. Just as their receipt is stamped, they are arrested by the mob of law officers. In prison, the band plays """"Jailhouse Rock"""" for the inmates."""
4,Caboblanco,https://en.wikipedia.org/wiki/Caboblanco,"Giff Hoyt (Bronson), a cafe owner in Cabo Blanco, Peru after World War II is caught between refuge-seeking Nazis and their enemies. After the murder of a sea explorer is passed off as accidental death by the corrupt local police, Giff becomes suspicious. The police chief (Rey) also intimidates a new arrival Marie (Sanda), and Giff intervenes to help her. Giff suspects Beckdorff (Robards), a Nazi refugee living in the area. Beckdorff, it emerges, is seeking to uncover sunken treasure."
5,Cannibal Holocaust,https://en.wikipedia.org/wiki/Cannibal_Holocaust,"""An American film crew disappears in the Amazon rainforest while filming a documentary about indigenous cannibal tribes. The team consists of Alan Yates, the director; Faye Daniels, script writer; and two cameramen, Jack Anders and Mark Tomaso. Harold Monroe, an anthropologist at New York University, agrees to lead a rescue mission in hopes of finding the missing filmmakers. In anticipation of his arrival, military personnel stationed in the rainforest conduct a raid on the local Yacumo tribe and take a young male hostage in order to negotiate with the natives. Monroe flies in via floatplane and is introduced to his guides, Chaco and his assistant, Miguel. After several days of trekking through the jungle, the rescue team encounters the Yacumo. They arrange the release of their hostage in exchange for being taken to the Yacumo village. Once there, the group is initially greeted with hostility and learns that the filmmakers caused great unrest among the people. The next day, Monroe and his guides head deeper into the rainforest to locate two warring cannibal tribes, the YaÌ§nomamÃ¶ and the Shamatari. They encounter a group of Shamatari warriors and follow them to a riverbank, where Monroe's team saves a smaller group of YaÌ§nomamÃ¶ from death. The YaÌ§nomamÃ¶ invite the team back to their village in gratitude, but they are still suspicious of the foreigners. To gain their trust, Monroe bathes naked in a river, where he is joined by a group of YaÌ§nomamÃ¶ women. The women lead Monroe from the river to a shrine, where he discovers the skeletal remains of the filmmakers with their film reels nearby. Shocked by what he sees, he confronts the YaÌ§nomamÃ¶ in the village, during which time he plays music from a tape recorder. The intrigued natives agree to trade it for the filmmakers' surviving reels of film. Back in New York, executives of the Pan American Broadcasting System invite Monroe to host a broadcast of the documentary to be made from the recovered film, but Monroe insists on viewing the raw footage before making a decision. One of the executives first introduce him to Alan's work by showing an excerpt from his previous documentary, The Last Road to Hell, after which she informs Monroe that Alan staged dramatic scenes to get more exciting footage. Monroe then begins to view the recovered footage, which first follows the group's trek through the rainforest. After walking for days, their guide, Felipe, is bitten by a venomous snake. The group amputates Felipe's leg with a machete to save his life, but he dies and is left behind. Upon locating the Yacumo in a clearing, Jack shoots one in the leg so they can easily follow him to the village. Once they arrive, the crew proceeds to intimidate the tribe before herding the natives into a hut, which they burn down in order to stage a massacre for their film. Monroe expresses apprehension about the staged footage and the treatment of the natives, but his concerns are ignored. After he finishes viewing the remaining footage, Monroe expresses his disgust toward the station's decision to air the documentary. To convince the executives otherwise, he shows them the remaining unedited footage that only he has seen. The final two reels begin with the filmmakers locating a YaÌ§nomamÃ¶ girl, whom the men take turns raping against Faye's protests, stating they are wasting film footage. They later encounter the same girl impaled on a wooden pole by a riverbank, where they claim that the natives killed her for loss of virginity, although it is implied that the group themselves killed her and staged it as a murder by the natives for dramatic effect. Shortly afterwards, they are attacked by the YaÌ§nomamÃ¶ tribe as revenge for the girl's rape and death. Jack is hit by a spear, and Alan shoots him to prevent his escape. The scene then moves to the crew filming the natives undressing Jack in their captivity and cutting his genitalia off with a large Machete before completely mutilating Jack's lifeless body. Shortly afterwards, an exhausted Alan says they have gotten completely lost trying to escape, and are now surrounded by the natives who pursued them. As a last resort, Alan attempts to scare them off with a flare gun. During the commotion, Faye is captured by the YaÌ§nomamÃ¶. Alan insists that they attempt to rescue her, but Mark continues to film as she is stripped naked, gang-raped, beaten to death, and beheaded. The YaÌ§nomamÃ¶ then locate and kill the last two team members as the camera drops to the ground. Disturbed by what they have seen, the executives order all of the footage to be burned. As Monroe leaves, he ponders """"who the real cannibals are""""."""
6,Cloud Dancer,https://en.wikipedia.org/wiki/Cloud_Dancer,"Brad Randolph is the world champion aerobatics pilot but now, in his early 40s, he faces many challenges to maintain his position. He begins to have nosebleeds during his competitions, is diagnosed with hypertension, and the doctor recommends he not expose himself to strong G-forces anymore. Intertwined with Brad's professional struggles is his relationship with photojournalist Helen St. Clair, who suddenly reappears after a year. He makes clear to her his intention of not getting married due to his dangerous profession and above all, of not having children, without explaining why. Helen is wary of telling him that while she was away she gave birth to his son. Brad's problems are compounded by the presence of a young competitor, Tom Loomis, whom Brad himself had encouraged to try aerobatics and quit drug smuggling. So, Brad faces difficult decisions. There are some vicious drug dealers using a fighter airplane to ground down drug-smuggling planes to take their cargo, will he do something about it? Will he continue to compete despite his failing health and the death of a colleague due to G-LOC, something he risks himself? And, what will happen with Helen?"
7,The Courage of Kavik the Wolf Dog,https://en.wikipedia.org/wiki/The_Courage_of_Kavik_the_Wolf_Dog,"Kavik, a champion sled dog, who has just won a race in Alaska, is sold for $4000 to George Hunter, a ruthless businessman from Seattle, who has local business interests. The plane carrying the dog crashes into the snow-covered wilderness; the pilot is killed and the dog is more dead than alive. The crash site is found by Andy Evans, a young boy who lives in the nearby fishing settlement of Copper City. He struggles to get the dog home and begs his parents to let him ask the local doctor to take a look at Kavik. Dr Walker does, initially reluctantly, have a look and does his best to deal with Kavik's multiple injuries. The dog slowly recovers and starts to bond with Andy.  However, due to its near death experience Kavik is terrified of other dogs and is quick to run away when confronted. But Hunter arrives on a regular trip and claims back the dog, taking him to a kennel in his palatial Seattle home. Hunter's kennel manager, seeing that the dog is unhappy and unlikely to be a champion racer, allows him to escape. Kavik manages to stow away on a coastal ferry and travels north. He struggles over inhospitable terrain, learning to fight other dogs and wolves for his food. Barely alive, he makes it back to Copper City, and reunites with Andy. Hunter arrives, angrily demanding the return of the dog. Andy's father, Kurt, equally angrily claims that the dog will be happier with them than with Hunter. Hunter, who employs Evans and practically owns the whole town, gives in with ill grace, selling Kavik to the Evans family for a token sum."
8,Cuba Crossing,https://en.wikipedia.org/wiki/Cuba_Crossing,"Hud is an American who survived the Bay of Pigs Invasion and has sworn revenge against Fidel Castro.  Many years later, he gets his chance when he is engaged by Mr Rossellini, who blames Castro for his losses when his gambling enterprises and he had to leave Cuba, and the mysterious Mr. Bell, who finances Hud for a mission to Cuba.  Hud plans to bring a father-and-son pair of sharpshooters to kill Castro when he stays at a hotel on the Isla de Pinos.  Through Rossellini, Hud hires bar owner and ship's captain Tony to bring his men ashore, but the enterprise is fraught with betrayal."
9,The Curse of King Tut's Tomb,https://en.wikipedia.org/wiki/The_Curse_of_King_Tut%27s_Tomb_(1980_film),"The English archaeologist Howard Carter and his financier, Lord Carnarvon discover the tomb of Tut-Ench-Amun after years of search. Unscrupulous art collector Sebastian is after the legendary sarcophagus from within the tomb. Rumors abound of a curse that befalls anyone who disturbs the grave. The Curse of the Pharaoh seems to be effective, for there ensues a series of mysterious deaths."
